Tipo_de_Moradia,Bairro,Area,Quartos,Banheiros,Vagas,Preco,Condominio,Aceita_Animais,Area_de_Servico,Churrasqueira,Elevador,Varanda,Piscina,Condominio_Fechado,Espaco_Gourmet,Portao_Eletronico,Quintal_ou_Jardim
Apartamento,Santa Efigênia,150.0,2.0,3.0,1.0,195000,,False,False,False,False,False,False,False,False,False,False
Apartamento,Estrela Sul,70.0,2.0,2.0,1.0,250000,270.0,True,False,True,True,False,True,True,False,False,False
Casa,Fontesville,217.0,3.0,3.0,1.0,420000,,False,False,False,False,False,False,False,False,False,False
Apartamento,Aeroporto,76.0,2.0,2.0,1.0,300000,200.0,True,True,False,True,True,True,False,True,False,False
Apartamento,Paineiras,63.0,2.0,1.0,,148000,152.0,False,False,False,False,False,False,False,False,True,False
Casa,Filgueiras,323.0,3.0,2.0,3.0,350000,,False,False,True,False,False,False,False,True,False,True
Apartamento,Bom Pastor,90.0,3.0,2.0,1.0,280000,340.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Bandeirantes,74.0,2.0,1.0,1.0,200000,122.0,False,False,False,False,False,False,False,False,False,False
Casa,Francisco Bernardino,290.0,3.0,4.0,2.0,650000,,False,False,False,False,False,False,False,False,True,False
Apartamento,Manoel Honório,78.0,3.0,2.0,,280000,200.0,True,False,False,False,False,False,False,False,False,False
Apartamento,São Mateus,86.0,2.0,2.0,2.0,400000,395.0,False,False,False,True,False,False,False,False,True,False
Apartamento,Paineiras,40.0,1.0,1.0,2.0,185000,260.0,False,False,False,False,False,False,True,False,False,False
Casa,Jardim do Sol,500.0,3.0,1.0,,265000,,False,False,False,False,False,False,False,False,False,False
Apartamento,Bonfim,67.0,2.0,1.0,1.0,170000,190.0,False,True,False,True,True,False,False,False,False,False
Apartamento,Santa Maria,83.0,2.0,2.0,1.0,230000,,False,False,False,False,False,False,False,False,False,False
Apartamento,Poço Rico,102.0,3.0,3.0,2.0,460000,270.0,False,False,False,False,False,False,False,False,True,False
Apartamento,Paineiras,63.0,2.0,1.0,,148000,152.0,False,False,False,False,False,False,False,False,False,False
Casa,Terras Altas,183.0,3.0,2.0,2.0,410000,,False,False,False,False,False,False,False,False,False,False
Apartamento,Linhares,70.0,2.0,1.0,,165000,,True,False,False,False,False,False,True,False,True,False
Apartamento,Teixeiras,55.0,2.0,1.0,,240536,,True,False,False,True,True,False,False,False,True,False
Apartamento,Bonfim,67.0,2.0,1.0,1.0,185000,250.0,False,False,False,True,False,False,False,False,False,False
Apartamento,Jardim do Sol,57.0,2.0,1.0,1.0,190000,330.0,False,False,False,False,False,False,False,False,False,False
Casa,Jóquei Clube,120.0,2.0,3.0,1.0,339000,,False,False,False,False,True,False,False,False,True,True
Apartamento,Santa Luzia,92.0,3.0,2.0,1.0,250000,354.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Centro,108.0,3.0,2.0,1.0,449000,465.0,False,False,False,True,False,False,False,False,False,False
Apartamento,Granbery,69.0,3.0,2.0,2.0,505145,,False,False,False,False,True,False,False,True,False,False
Apartamento,Santos Anjos,71.0,2.0,1.0,,159000,20.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Aeroporto,140.0,3.0,2.0,2.0,379000,,True,False,False,False,False,False,True,False,True,False
Apartamento,Democrata,65.0,2.0,2.0,1.0,265000,300.0,False,False,True,True,False,True,True,False,False,False
Casa,Quintas das Avenidas,380.0,3.0,5.0,4.0,1090000,,True,True,True,False,False,True,False,False,False,False
Apartamento,Boa Vista,137.0,3.0,2.0,2.0,870000,,False,False,False,False,True,False,False,True,False,False
Apartamento,Passos,105.0,2.0,2.0,1.0,350000,580.0,False,False,False,False,False,False,False,False,False,False
Casa,Francisco Bernardino,200.0,3.0,2.0,2.0,450000,,False,False,True,False,False,False,False,True,False,True
Apartamento,São Pedro,76.0,2.0,2.0,1.0,439900,,False,False,False,False,True,False,False,True,False,False
Apartamento,Santa Luzia,150.0,3.0,3.0,2.0,359000,372.0,True,False,True,False,False,True,True,False,False,True
Apartamento,Centro,471.0,1.0,1.0,,160000,380.0,False,False,False,True,False,False,False,False,False,False
Apartamento,Manoel Honório,80.0,2.0,1.0,1.0,280000,240.0,False,False,False,True,False,False,False,False,False,False
Apartamento,Mariano Procópio,60.0,2.0,1.0,,150000,,False,True,False,False,False,False,False,False,False,False
Apartamento,Vivendas da Serra,110.0,2.0,1.0,1.0,265000,,True,False,False,False,True,False,False,True,True,False
Casa,São Bernardo,240.0,3.0,2.0,2.0,300000,,False,False,False,False,False,False,False,False,False,False
Apartamento,São Mateus,171.0,3.0,2.0,2.0,550000,,True,False,True,True,False,False,True,False,False,False
Apartamento,Santa Terezinha,60.0,2.0,1.0,1.0,255000,157.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Vivendas da Serra,68.0,2.0,1.0,1.0,370000,230.0,False,False,False,False,False,False,False,False,False,False
Casa,Jardim L Ermitage,210.0,3.0,4.0,4.0,950000,120.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Centro,130.0,3.0,1.0,3.0,550000,270.0,False,True,False,False,False,False,False,False,False,False
Apartamento,Cascatinha,82.0,2.0,1.0,1.0,250000,190.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Cidade do Sol,98.0,3.0,1.0,1.0,200000,1.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Mundo Novo,63.0,2.0,1.0,,179000,140.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Bom Pastor,165.0,3.0,3.0,1.0,650000,860.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Jardim Glória,72.0,2.0,2.0,1.0,260000,219.0,False,False,False,False,False,False,False,False,False,False
Apartamento,São Pedro,50.0,2.0,1.0,1.0,220000,230.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Spina Ville II,102.0,2.0,1.0,1.0,160000,250.0,False,False,False,False,False,False,False,False,False,False
Apartamento,São Pedro,70.0,3.0,1.0,1.0,210000,100.0,True,True,False,False,False,False,True,False,False,True
Apartamento,São Mateus,77.0,3.0,1.0,2.0,290000,278.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Alto dos Passos,100.0,3.0,2.0,1.0,309000,220.0,False,False,False,False,False,False,False,False,True,False
Apartamento,Jardim de Alah,60.0,2.0,1.0,,130000,150.0,False,False,False,False,False,False,False,False,True,False
Apartamento,Nova Era,100.0,2.0,2.0,,240000,90.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Alto dos Passos,158.0,3.0,2.0,1.0,400000,290.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Sagrado Coração de Jesus,48.0,2.0,1.0,,148000,,True,False,False,False,False,False,True,False,True,False
Apartamento,Centro,158.0,3.0,3.0,,279000,250.0,True,False,False,False,False,False,False,False,False,False
Apartamento,Bom Pastor,90.0,3.0,2.0,1.0,280000,336.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Progresso,50.0,1.0,1.0,,105000,136.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Mariano Procópio,102.0,3.0,3.0,1.0,330000,440.0,False,False,False,True,False,False,False,False,True,False
